iter	Passed	Remaining
0	2	295
1	4	243
2	6	216
3	9	225
4	11	216
5	13	208
6	14	198
7	16	192
8	17	181
9	19	177
10	21	175
11	23	170
12	24	164
13	26	160
14	27	155
15	28	150
16	29	144
17	30	141
18	31	136
19	33	133
20	34	129
21	35	127
22	36	123
23	38	121
24	39	117
25	40	116
26	41	113
27	43	111
28	44	109
29	45	106
30	46	103
31	47	101
32	49	100
33	50	98
34	52	96
35	53	95
36	54	92
37	55	90
38	56	88
39	57	86
40	58	84
41	59	81
42	59	79
43	60	77
44	61	75
45	62	72
46	63	71
47	64	69
48	65	68
49	67	67
50	69	66
51	70	64
52	71	63
53	71	61
54	72	59
55	73	57
56	73	55
57	74	53
58	75	52
59	76	50
60	76	49
61	77	47
62	78	46
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	88	35
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	26
79	99	24
80	100	23
81	102	22
82	104	21
83	105	20
84	106	18
85	108	17
86	110	16
87	112	15
88	114	14
89	115	12
90	116	11
91	118	10
92	119	9
93	120	7
94	121	6
95	122	5
96	124	3
97	169	3
98	172	1
99	187	0
