iter	Passed	Remaining
0	202	202447
1	205	102628
2	207	69017
3	209	52069
4	210	41901
5	211	35086
6	212	30188
7	213	26528
8	215	23678
9	216	21385
10	217	19543
11	218	18004
12	220	16720
13	221	15601
14	222	14606
15	223	13740
16	224	12973
17	225	12290
18	226	11676
19	227	11126
20	228	10629
21	229	10191
22	230	9780
23	231	9412
24	232	9069
25	234	8781
26	235	8481
27	236	8205
28	237	7947
29	238	7710
30	239	7486
31	240	7277
32	241	7090
33	242	6902
34	243	6725
35	245	6562
36	246	6409
37	247	6267
38	248	6128
39	249	5994
40	250	5866
41	251	5746
42	252	5629
43	254	5524
44	255	5417
45	256	5313
46	257	5215
47	258	5122
48	259	5030
49	260	4949
50	261	4867
51	262	4784
52	263	4705
53	264	4632
54	265	4560
55	266	4493
56	267	4428
57	268	4362
58	269	4298
59	270	4235
60	271	4174
61	272	4115
62	273	4062
63	274	4016
64	275	3963
65	276	3911
66	277	3860
67	278	3812
68	279	3771
69	280	3725
70	281	3681
71	282	3639
72	283	3598
73	284	3556
74	284	3513
75	285	3472
76	286	3431
77	286	3391
78	288	3358
79	289	3324
80	289	3288
81	290	3252
82	290	3214
83	291	3180
84	292	3148
85	293	3115
86	293	3083
87	294	3052
88	295	3021
89	295	2991
90	296	2961
91	297	2933
92	297	2904
93	298	2876
94	299	2849
95	299	2824
96	300	2798
97	301	2773
98	302	2752
99	303	2729
100	304	2706
101	304	2684
102	306	2668
103	307	2649
104	308	2627
105	308	2605
106	309	2584
107	310	2562
108	310	2542
109	311	2521
110	312	2501
111	313	2481
112	313	2462
113	314	2443
114	315	2427
115	316	2413
116	317	2398
117	318	2383
118	319	2368
119	320	2353
120	321	2338
121	322	2322
122	323	2307
123	324	2293
124	325	2279
125	326	2266
126	327	2253
127	329	2247
128	331	2236
129	332	2223
130	333	2212
131	334	2201
132	336	2192
133	337	2183
134	339	2174
135	340	2161
136	341	2148
137	341	2135
138	342	2123
139	343	2112
140	345	2103
141	346	2091
142	347	2080
143	348	2069
144	348	2057
145	349	2045
146	350	2033
147	351	2021
148	352	2010
149	353	2000
150	353	1989
151	354	1978
152	355	1967
153	356	1956
154	357	1947
155	358	1937
156	359	1930
157	360	1922
158	361	1913
159	362	1903
160	363	1892
161	364	1883
162	365	1874
163	366	1867
164	367	1859
165	368	1850
166	369	1840
167	369	1831
168	370	1824
169	371	1815
170	372	1806
171	373	1798
172	374	1790
173	375	1782
174	376	1773
175	377	1765
176	378	1758
177	379	1751
178	380	1743
179	380	1735
180	381	1726
181	382	1718
182	383	1710
183	384	1703
184	385	1696
185	386	1689
186	386	1682
187	388	1676
188	389	1672
189	390	1666
190	391	1658
191	392	1651
192	393	1643
193	393	1636
194	394	1628
195	395	1621
196	395	1613
197	396	1606
198	397	1599
199	398	1592
200	398	1585
201	399	1578
202	400	1571
203	400	1564
204	401	1557
205	402	1551
206	403	1545
207	404	1539
208	405	1532
209	405	1526
210	406	1519
211	407	1513
212	407	1506
213	408	1500
214	409	1493
215	409	1487
216	410	1481
217	411	1475
218	412	1469
219	412	1463
220	413	1457
221	414	1451
222	414	1445
223	415	1439
224	416	1433
225	417	1428
226	418	1424
227	418	1418
228	419	1412
229	420	1407
230	421	1401
231	421	1395
232	422	1390
233	423	1385
234	423	1379
235	424	1375
236	425	1369
237	426	1364
238	426	1359
239	427	1354
240	428	1348
241	429	1343
242	429	1338
243	430	1333
244	431	1329
245	432	1325
246	433	1320
247	433	1315
248	434	1311
249	435	1306
250	436	1301
251	436	1296
252	437	1291
253	438	1287
254	439	1282
255	439	1277
256	440	1273
257	441	1268
258	441	1264
259	442	1259
260	443	1255
261	443	1250
262	444	1245
263	445	1241
